Safari Shoes,SafariShoesArmorItem;BootsArmorItem;ArmorItem;Item;
Willow Double Bed,ObjectItem;PlaceableItem;Item;
Tungsten Chestplate,TungstenChestplateArmorItem;ChestArmorItem;ArmorItem;Item;
Strength Potion,StrengthPotionItem;SimplePotionItem;PotionConsumableItem;ConsumableItem;PlaceableItem;Item;
Oak Tree Stump,ObjectItem;PlaceableItem;Item;
Fallen Icicle,ObjectItem;PlaceableItem;Item;
Stew Pot,ObjectItem;PlaceableItem;Item;
Cutlass,CutlassSwordToolItem;SwordToolItem;ToolItem;Item;
Caveglow Alchemy Table,ObjectItem;PlaceableItem;Item;
Pig Spawn Item,ImportedAnimalSpawnItem;MobSpawnItem;PlaceableItem;Item;
Wall Window (Ice Wall),ObjectItem;PlaceableItem;Item;
Dryad Dinner Table,ObjectItem;PlaceableItem;Item;
Antique Sword,AntiqueSwordSwordToolItem;SwordToolItem;ToolItem;Item;
Locked Dusk Door,ObjectItem;PlaceableItem;Item;
Bread,FoodConsumableItem;ConsumableItem;PlaceableItem;Item;
Reapers Requiem Vinyl,VinylItem;Item;
Ivy Shovel,CustomShovelToolItem;ShovelToolItem;ToolDamageItem;ToolItem;Item;
Ascended Growth,TileItem;PlaceableItem;Item;
Deep Rock Iron Ore,ObjectItem;PlaceableItem;Item;
Wire,MatItem;Item;
Frost Sword,FrostSwordToolItem;SwordToolItem;ToolItem;Item;
Frog Spawn Item,MobSpawnItem;PlaceableItem;Item;
NOT_OBTAINABLE: Golden Arachnid Web Bow,GoldenArachnidWebBowToolItem;ArachnidWebBowToolItem;BowProjectileToolItem;ProjectileToolItem;ToolItem;Item;
Dryad Toilet,ObjectItem;PlaceableItem;Item;
Swamp Zombie Spawn Item,MobSpawnItem;PlaceableItem;Item;
Orb of Slimes,OrbOfSlimesToolItem;SummonToolItem;ToolItem;Item;
Enchanting Scroll,EnchantingScrollItem;Item;
Spruce Bookshelf,ObjectItem;PlaceableItem;Item;
Copper Pickaxe,CustomPickaxeToolItem;PickaxeToolItem;ToolDamageItem;ToolItem;Item;
Raspberry Bush Sapling,ObjectItem;PlaceableItem;Item;
Deep Sandstone Rock Iron Ore,ObjectItem;PlaceableItem;Item;
Gold Sword,GoldSwordToolItem;SwordToolItem;ToolItem;Item;
Rockfish,FishItem;MatItem;Item;
Glacial Pickaxe,CustomPickaxeToolItem;PickaxeToolItem;ToolDamageItem;ToolItem;Item;
Spider Helmet,SpiderHelmetArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Mycelium Ore,MatItem;Item;
Beatdown Vinyl,VinylItem;Item;
Cooling Box,ObjectItem;PlaceableItem;Item;
Raven Skull,ObjectItem;PlaceableItem;Item;
Wall Window (Obsidian Wall),ObjectItem;PlaceableItem;Item;
Willow Bed,ObjectItem;PlaceableItem;Item;
Cartographer Table,ObjectItem;PlaceableItem;Item;
Tungsten Spear,TungstenSpearToolItem;SpearToolItem;ToolItem;Item;
Green Present,PresentItem;Item;
Deep Snow Rock Glacial Ore,ObjectItem;PlaceableItem;Item;
Spaghetti Bolognese,FoodConsumableItem;ConsumableItem;PlaceableItem;Item;
NOT_OBTAINABLE: Wood Greatsword,WoodGreatswordToolItem;GreatswordToolItem;SwordToolItem;ToolItem;Item;
Demonic Bar,MatItem;Item;
Runic Crown,RunicCrownArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Raspberry Jam,FoodConsumableItem;ConsumableItem;PlaceableItem;Item;
Wood Saw Trap,ObjectItem;PlaceableItem;Item;
Nightsteel Helmet,NightsteelHelmetArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Spider Rock Alchemy Shard,ObjectItem;PlaceableItem;Item;
Copper Boots,CopperBootsArmorItem;BootsArmorItem;ArmorItem;Item;
Strawberry,FoodConsumableItem;ConsumableItem;PlaceableItem;Item;
Chicken Drumstick,FoodConsumableItem;ConsumableItem;PlaceableItem;Item;
OR Gate,LogicGateItem;PlaceableItem;Item;
Sparkler,SparklerProjectileToolItem;MagicProjectileToolItem;ProjectileToolItem;ToolItem;Item;
Rain Hat,RainHatArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Cheat Wig,CheatWigArmorItem;WigArmorItem;HelmetArmorItem;ArmorItem;Item;
Miners Stew,FoodConsumableItem;ConsumableItem;PlaceableItem;Item;
Locked Willow Door,ObjectItem;PlaceableItem;Item;
Scrying Mirror,SimpleTrinketItem;TrinketItem;Item;
Spilled Gold Chalice,ObjectItem;PlaceableItem;Item;
Plague Robe,PlagueRobeArmorItem;ChestArmorItem;ArmorItem;Item;
The Swarm of the Night Vinyl,VinylItem;Item;
Feeding Trough,ObjectItem;PlaceableItem;Item;
Small Emerald Cluster,ObjectItem;PlaceableItem;Item;
Spider Castle Wall Candle,ObjectItem;PlaceableItem;Item;
Venomous Reckoning Vinyl,VinylItem;Item;
Music Player,ObjectItem;PlaceableItem;Item;
Swamp Grass,ObjectItem;PlaceableItem;Item;
Water Lantern,TorchObjectItem;ObjectItem;PlaceableItem;Item;
Maple Double Bed,ObjectItem;PlaceableItem;Item;
Blood Volley,BloodVolleyProjectileToolItem;MagicProjectileToolItem;ProjectileToolItem;ToolItem;Item;
Iron Double Streetlamp,ObjectItem;PlaceableItem;Item;
Single Deep Swamp Rock,ObjectItem;PlaceableItem;Item;
Apiary Frame,ApiaryFramePlaceableItem;PlaceableItem;Item;
Cow Spawn Item,ImportedAnimalSpawnItem;MobSpawnItem;PlaceableItem;Item;
Granite Door,ObjectItem;PlaceableItem;Item;
Turban,TurbanArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Greater Fishing Potion,GreaterFishingPotionItem;SimplePotionItem;PotionConsumableItem;ConsumableItem;PlaceableItem;Item;
Ammo Bag,AmmoBag;AmmoPouch;PouchItem;Item;
Nightsteel Bar,MatItem;Item;
Sandstone Column,ObjectItem;PlaceableItem;Item;
Aged Champion Spawn Item,MobSpawnItem;PlaceableItem;Item;
Wall Window (Crypt Wall),ObjectItem;PlaceableItem;Item;
Rock Lever,ObjectItem;PlaceableItem;Item;
Reeds,ObjectItem;PlaceableItem;Item;
Sand Brick,TileItem;PlaceableItem;Item;
Frost Spear,FrostSpearToolItem;SpearToolItem;ToolItem;Item;
NOR Gate,LogicGateItem;PlaceableItem;Item;
Observant Mask,ObjectItem;PlaceableItem;Item;
Telescope,TelescopeItem;Item;
Demonic Spear,DemonicSpearToolItem;SpearToolItem;ToolItem;Item;
Tropical Stew,FoodConsumableItem;ConsumableItem;PlaceableItem;Item;
Deep Cave Ladder,ObjectItem;PlaceableItem;Item;
Portable Music Player,PortableMusicPlayerItem;PouchItem;Item;
Ivy Sword,IvySwordToolItem;SwordToolItem;ToolItem;Item;
Swamps Grasp,SwampsGraspToolItem;SummonToolItem;ToolItem;Item;
Baby Shark,BabySharkQuestItem;QuestFishItem;QuestItem;Item;
Runic Boots,RunicBootsArmorItem;BootsArmorItem;ArmorItem;Item;
Tomato Seeds,SeedObjectItem;CustomObjectItem;ObjectItem;PlaceableItem;Item;
Swamp Grass,TileItem;PlaceableItem;Item;
Trap Track,MinecartObjectItem;ObjectItem;PlaceableItem;Item;
Deep Swamp Rock Life Quartz,ObjectItem;PlaceableItem;Item;
Locked Sandstone Door,ObjectItem;PlaceableItem;Item;
Banana Painting,ObjectItem;PlaceableItem;Item;
Carpet of Love,ObjectItem;PlaceableItem;Item;
Wood Sword,WoodSwordToolItem;SwordToolItem;ToolItem;Item;
Cloth Boots,ClothBootsArmorItem;BootsArmorItem;ArmorItem;Item;
Secrets of The Forest Vinyl,VinylItem;Item;
Bone Desk,ObjectItem;PlaceableItem;Item;
Ruby,MatItem;Item;
Runebound Helm,RuneboundHelmetArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Infinite Rope,InfiniteRopeItem;RopeItem;Item;
Zephyr Boots,ZephyrBootsTrinketItem;TrinketItem;Item;
Orange Book,ObjectItem;PlaceableItem;Item;
Potted Flower,ObjectItem;PlaceableItem;Item;
Pawnbroker Spawn Item,MobSpawnItem;PlaceableItem;Item;
Snow Stone Column,ObjectItem;PlaceableItem;Item;
Skeleton Miner Spawn Item,MobSpawnItem;PlaceableItem;Item;
Spruce Tree,ObjectItem;PlaceableItem;Item;
Spelunker Potion,SpelunkerPotionItem;SimplePotionItem;PotionConsumableItem;ConsumableItem;PlaceableItem;Item;
Cave Maple Tree,ObjectItem;PlaceableItem;Item;
Birch Bookshelf,ObjectItem;PlaceableItem;Item;
Chromatic Spellbook,ChromaticSpellbookProjectileToolItem;MagicProjectileToolItem;ProjectileToolItem;ToolItem;Item;
Storagebox,ObjectItem;PlaceableItem;Item;
Dryad Bed,ObjectItem;PlaceableItem;Item;
Electrified Mana,MatItem;Item;
Pork Tenderloin,FoodConsumableItem;ConsumableItem;PlaceableItem;Item;
Ancient Dredging Staff,AncientDredgingStaffProjectileToolItem;MagicProjectileToolItem;ProjectileToolItem;ToolItem;Item;
Melee Foci,SimpleTrinketItem;TrinketItem;Item;
Sugar Beet Seeds,SeedObjectItem;CustomObjectItem;ObjectItem;PlaceableItem;Item;
Sand Knife,SandKnifeToolItem;SwordToolItem;ToolItem;Item;
Cloth Scraps,MatItem;Item;
Thorns,ObjectItem;PlaceableItem;Item;
ElekTrak Vinyl,VinylItem;Item;
Incursion Caveling Spawn Item,MobSpawnItem;PlaceableItem;Item;
Stone Caveling Spawn Item,MobSpawnItem;PlaceableItem;Item;
Deep Snow Rock Copper Ore,ObjectItem;PlaceableItem;Item;
Red Wrapping Paper,WrappingPaperItem;Item;
Bamboo Wall,ObjectItem;PlaceableItem;Item;
Maple Sapling,ObjectItem;PlaceableItem;Item;
Wood Column,ObjectItem;PlaceableItem;Item;
Clay,MatItem;Item;
Portal Flask,PortalFlaskItem;ConsumableItem;PlaceableItem;Item;
Frost Chestplate,FrostChestplateArmorItem;ChestArmorItem;ArmorItem;Item;
Exotic Shirt,ExoticShirtArmorItem;ChestArmorItem;ArmorItem;Item;
Heavy Hammer,HeavyHammerProjectileToolItem;MeleeProjectileToolItem;ProjectileToolItem;ToolItem;Item;
Deep Rock Tungsten Ore,ObjectItem;PlaceableItem;Item;
Shard Cannon,ShardCannonProjectileToolItem;GunProjectileToolItem;ProjectileToolItem;ToolItem;Item;
Digging Claw,SimpleTrinketItem;TrinketItem;Item;
Ancient Fossil Pickaxe,CustomPickaxeToolItem;PickaxeToolItem;ToolDamageItem;ToolItem;Item;
Blackberry Bush,ObjectItem;PlaceableItem;Item;
Maple Log,MatItem;Item;
Dryad Desk,ObjectItem;PlaceableItem;Item;
Bamboo Bed,ObjectItem;PlaceableItem;Item;
Frost Piercer,FrostPiercerSummonToolItem;SummonToolItem;ToolItem;Item;
Passive Potion,PassivePotionItem;SimplePotionItem;PotionConsumableItem;ConsumableItem;PlaceableItem;Item;
Wooden Candle Set,TorchObjectItem;ObjectItem;PlaceableItem;Item;
Swamp Stone Pressure Plate,ObjectItem;PlaceableItem;Item;
Ivy Spear,IvySpearToolItem;SpearToolItem;ToolItem;Item;
Blink Scepter,BlinkScepterTrinketItem;TrinketItem;Item;
Wisdom Potion,WisdomPotionItem;SimplePotionItem;PotionConsumableItem;ConsumableItem;PlaceableItem;Item;
Overgrown Swamp Grass Seeds,GrassSeedItem;PlaceableItem;Item;
Herring,FishItem;MatItem;Item;
Nightsteel Circlet,NightsteelCircletArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Sand Catacombs Vinyl,VinylItem;Item;
Locked Ice Door,ObjectItem;PlaceableItem;Item;
Rain Boots,RainBootsArmorItem;BootsArmorItem;ArmorItem;Item;
Deep Snow Rock,ObjectItem;PlaceableItem;Item;
Bamboo Desk,ObjectItem;PlaceableItem;Item;
Pine Log,MatItem;Item;
Falling Icicle Trigger,ObjectItem;PlaceableItem;Item;
Greater Attack Speed Potion,GreaterAttackSpeedPotionItem;SimplePotionItem;PotionConsumableItem;ConsumableItem;PlaceableItem;Item;
Locked Snow Stone Door,ObjectItem;PlaceableItem;Item;
Iron Sword,IronSwordToolItem;SwordToolItem;ToolItem;Item;
Dryad Axe,CustomAxeToolItem;AxeToolItem;ToolDamageItem;ToolItem;Item;
Bone Chair,ObjectItem;PlaceableItem;Item;
Arcanic Boots,ArcanicBootsArmorItem;BootsArmorItem;ArmorItem;Item;
Stone Fence Gate,ObjectItem;PlaceableItem;Item;
Sniper Rifle,SniperProjectileToolItem;GunProjectileToolItem;ProjectileToolItem;ToolItem;Item;
Willow Tree Stump,ObjectItem;PlaceableItem;Item;
Forge,ObjectItem;PlaceableItem;Item;
Swampfish,FishItem;MatItem;Item;
Settlement Flag,SettlementFlagObjectItem;ObjectItem;PlaceableItem;Item;
Magic Manual,SimpleTrinketItem;TrinketItem;Item;
Ivy Ore,MatItem;Item;
Crimson Robe,CrimsonRobeArmorItem;ChestArmorItem;ArmorItem;Item;
Sandstone Quartz,ObjectItem;PlaceableItem;Item;
Spider Castle Wall Arrow Trap,ObjectItem;PlaceableItem;Item;
Deep Rock Copper Ore,ObjectItem;PlaceableItem;Item;
Sandstone,ObjectItem;PlaceableItem;Item;
LostGrip Vinyl,VinylItem;Item;
Overgrown Plains Grass Seeds,GrassSeedItem;PlaceableItem;Item;
Spruce Display,ObjectItem;PlaceableItem;Item;
Arcanic Door,ObjectItem;PlaceableItem;Item;
Onion,FoodConsumableItem;ConsumableItem;PlaceableItem;Item;
Chicken Glyph Trap,ObjectItem;PlaceableItem;Item;
Ivy Chestplate,IvyChestplateArmorItem;ChestArmorItem;ArmorItem;Item;
Dryad Bathtub,ObjectItem;PlaceableItem;Item;
Sandstone Wall,ObjectItem;PlaceableItem;Item;
Leather Carpet,ObjectItem;PlaceableItem;Item;
Swamp Candle Pedestal,ObjectItem;PlaceableItem;Item;
Chicken Cutlet Dish,FoodConsumableItem;ConsumableItem;PlaceableItem;Item;
Deep Swamp Stone Brick Floor,TileItem;PlaceableItem;Item;
Topaz,MatItem;Item;
Basalt Stone Column,ObjectItem;PlaceableItem;Item;
Reinforced Katana,ReinforcedKatanaToolItem;KatanaToolItem;SwordToolItem;ToolItem;Item;
Deepfrost Boots,DeepfrostBootsArmorItem;BootsArmorItem;ArmorItem;Item;
Emerald Staff,EmeraldStaffProjectileToolItem;MagicProjectileToolItem;ProjectileToolItem;ToolItem;Item;
Frog Costume Shirt,FrogCostumeShirtArmorItem;ChestArmorItem;ArmorItem;Item;
Copper Axe,CustomAxeToolItem;AxeToolItem;ToolDamageItem;ToolItem;Item;
Wood Shovel,CustomShovelToolItem;ShovelToolItem;ToolDamageItem;ToolItem;Item;
Depths Catcher,DepthsCatcherRodItem;FishingRodItem;PlaceableItem;Item;
Tool Extender,SimpleTrinketItem;TrinketItem;Item;
Mycelium Chestplate,MyceliumChestplateArmorItem;ChestArmorItem;ArmorItem;Item;
Spruce Bed,ObjectItem;PlaceableItem;Item;
Birch Desk,ObjectItem;PlaceableItem;Item;
Necrotic Flask,NecroticFlaskProjectileToolItem;FlaskProjectileToolItem;MagicProjectileToolItem;ProjectileToolItem;ToolItem;Item;
Corn Seeds,SeedObjectItem;CustomObjectItem;ObjectItem;PlaceableItem;Item;
Flameling Spawn Item,MobSpawnItem;PlaceableItem;Item;
Dryad Bookshelf,ObjectItem;PlaceableItem;Item;
Noble Horseshoe,SimpleTrinketItem;TrinketItem;Item;
Stepping Stones,ObjectItem;PlaceableItem;Item;
Deep Snow Rock Alchemy Shard,ObjectItem;PlaceableItem;Item;
Inducing Amulet,SimpleTrinketItem;TrinketItem;Item;
Slime Chestplate,SlimeChestplateArmorItem;ChestArmorItem;ArmorItem;Item;
Lightning Hammer,LightningHammerToolItem;SwordToolItem;ToolItem;Item;
Grain Mill,ObjectItem;PlaceableItem;Item;
Warrior Slime Spawn Item,MobSpawnItem;PlaceableItem;Item;
Duck Spawn Item,MobSpawnItem;PlaceableItem;Item;
Crimson Hat,CrimsonHatArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Deep Swamp Stone Pressure Plate,ObjectItem;PlaceableItem;Item;
Stone Path,TileItem;PlaceableItem;Item;
Forest Path Strings Vinyl,VinylItem;Item;
Blackberry Bush Sapling,ObjectItem;PlaceableItem;Item;
Spare Boat Parts,MatItem;Item;
Local Pirate Map,WorldPresetMapItem;MapItem;PlaceableItem;Item;
Prophecy Slab,SimpleTrinketItem;TrinketItem;Item;
Explorer Satchel,CombinedTrinketItem;TrinketItem;Item;
Basalt Rock,TileItem;PlaceableItem;Item;
Shadow Essence,EssenceMatItem;MatItem;Item;
Spruce Tree Stump,ObjectItem;PlaceableItem;Item;
Basalt,StonePlaceableItem;PlaceableItem;Item;
Slime Essence,EssenceMatItem;MatItem;Item;
Ancient Fossil Chestplate,AncientFossilChestplateArmorItem;ChestArmorItem;ArmorItem;Item;
Ivy Boots,IvyBootsArmorItem;BootsArmorItem;ArmorItem;Item;
The Cursed Crone Spawn Item,MobSpawnItem;PlaceableItem;Item;
Pine Desk,ObjectItem;PlaceableItem;Item;
Granite,StonePlaceableItem;PlaceableItem;Item;
Tungsten Pickaxe,CustomPickaxeToolItem;PickaxeToolItem;ToolDamageItem;ToolItem;Item;
Small Sapphire Cluster,ObjectItem;PlaceableItem;Item;
Deep Stone Column,ObjectItem;PlaceableItem;Item;
Purple Dotted Carpet,ObjectItem;PlaceableItem;Item;
Frog Leg,FoodConsumableItem;ConsumableItem;PlaceableItem;Item;
Overgrown Fishing Rod,FishingRodItem;PlaceableItem;Item;
Pine Toilet,ObjectItem;PlaceableItem;Item;
Kronos Vinyl,VinylItem;Item;
Spiderite Armor Stand,ObjectItem;PlaceableItem;Item;
Ice Pickaxe,CustomPickaxeToolItem;PickaxeToolItem;ToolDamageItem;ToolItem;Item;
Dryad Log Bench,ObjectItem;PlaceableItem;Item;
Swamp Rock Iron Ore,ObjectItem;PlaceableItem;Item;
Settlement of Haunted Dreams Vinyl,VinylItem;Item;
Silk,MatItem;Item;
Forest Hedge Gate,ObjectItem;PlaceableItem;Item;
Swamp Cavern Vinyl,VinylItem;Item;
Willow Log Bench,ObjectItem;PlaceableItem;Item;
Iron Spear,IronSpearToolItem;SpearToolItem;ToolItem;Item;
IcyRuse Vinyl,VinylItem;Item;
Giant Swamp Slime Spawn Item,MobSpawnItem;PlaceableItem;Item;
Locked Basalt Door,ObjectItem;PlaceableItem;Item;
Chicken Costume Boots,ChickenCostumeBootsArmorItem;BootsArmorItem;ArmorItem;Item;
Ancient Vulture's Feast Vinyl,VinylItem;Item;
Stone Brick Floor,TileItem;PlaceableItem;Item;
The Void Spawn Item,MobSpawnItem;PlaceableItem;Item;
Ice Arrow Trap,ObjectItem;PlaceableItem;Item;
Beehive,ObjectItem;PlaceableItem;Item;
Pirate Boots,PirateBootsArmorItem;BootsArmorItem;ArmorItem;Item;
Void Boomerang,VoidBoomerangToolItem;BoomerangToolItem;ThrowToolItem;ProjectileToolItem;ToolItem;Item;
Wild Caveglow,ObjectItem;PlaceableItem;Item;
Wall Window (Willow Wall),ObjectItem;PlaceableItem;Item;
Mage Shoes,MageShoesArmorItem;BootsArmorItem;ArmorItem;Item;
T flip-flop Gate,LogicGateItem;PlaceableItem;Item;
Locked Dryad Door,ObjectItem;PlaceableItem;Item;
Gold Boots,GoldBootsArmorItem;BootsArmorItem;ArmorItem;Item;
Ancestors Robe,AncestorsRobeArmorItem;ChestArmorItem;ArmorItem;Item;
Pure Sapphire Cluster,ObjectItem;PlaceableItem;Item;
Glacial Bow,GlacialBowProjectileToolItem;BowProjectileToolItem;ProjectileToolItem;ToolItem;Item;
Small Single Rock,ObjectItem;PlaceableItem;Item;
Essence of Perspective,SimpleTrinketItem;TrinketItem;Item;
Merchant Shirt,MerchantShirtArmorItem;ChestArmorItem;ArmorItem;Item;
Aged Champion Chestplate,AgedChampionChestplateArmorItem;ChestArmorItem;ArmorItem;Item;
Obsidian rock,ObjectItem;PlaceableItem;Item;
Stone Wall,ObjectItem;PlaceableItem;Item;
Storming the Hamlet Part 2 Vinyl,VinylItem;Item;
Pine Floor,TileItem;PlaceableItem;Item;
Sandstone Flame Trap,ObjectItem;PlaceableItem;Item;
Air Vessel,SimpleTrinketItem;TrinketItem;Item;
Alien Costume Boots,AlienCostumeBootsArmorItem;BootsArmorItem;ArmorItem;Item;
Obsidian Saw Trap,ObjectItem;PlaceableItem;Item;
Willow Chair,ObjectItem;PlaceableItem;Item;
Necrotic Soul Skull,SimpleTrinketItem;TrinketItem;Item;
Fried Pork,FoodConsumableItem;ConsumableItem;PlaceableItem;Item;
Ivy Circlet,IvyCircletArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Fishian Banner,ObjectItem;PlaceableItem;Item;
Mouse Painting,ObjectItem;PlaceableItem;Item;
Snow Pile 4,ObjectItem;PlaceableItem;Item;
Penguin Spawn Item,MobSpawnItem;PlaceableItem;Item;
Hunter Hood,HunterHoodArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Dryad Branch,DryadBranchSummonToolItem;SummonToolItem;ToolItem;Item;
Adventure Begins Strings Vinyl,VinylItem;Item;
Dungeon Wall,ObjectItem;PlaceableItem;Item;
Spruce Candelabra,TorchObjectItem;ObjectItem;PlaceableItem;Item;
Roasted Frog Leg,FoodConsumableItem;ConsumableItem;PlaceableItem;Item;
Coin Stack,ObjectItem;PlaceableItem;Item;
Incinerator,ObjectItem;PlaceableItem;Item;
Dungeon Chest,ObjectItem;PlaceableItem;Item;
Bamboo Toilet,ObjectItem;PlaceableItem;Item;
Banner Stand,ObjectItem;PlaceableItem;Item;
Deep Sandstone Rock Alchemy Shard,ObjectItem;PlaceableItem;Item;
Chestplate of Generosity,SupporterChestplateArmorItem;ChestArmorItem;ArmorItem;Item;
Potted Plant,ObjectItem;PlaceableItem;Item;
Void Claw,VoidClawSwordToolItem;KatanaToolItem;SwordToolItem;ToolItem;Item;
Rain Coat,RainCoatArmorItem;ChestArmorItem;ArmorItem;Item;
Pine Bed,ObjectItem;PlaceableItem;Item;
Deadwood Double Bed,ObjectItem;PlaceableItem;Item;
Queen Spider Spawn Item,MobSpawnItem;PlaceableItem;Item;
Frost Shard,MatItem;Item;
Lost Temple Vinyl,VinylItem;Item;
Cabbage,FoodConsumableItem;ConsumableItem;PlaceableItem;Item;
Sandstone Path,TileItem;PlaceableItem;Item;
Lava Path,TileItem;PlaceableItem;Item;
Fruit Smoothie,FoodConsumableItem;ConsumableItem;PlaceableItem;Item;
Birch Bathtub,ObjectItem;PlaceableItem;Item;
Palm Modular Table,ObjectItem;PlaceableItem;Item;
Slime Rock,ObjectItem;PlaceableItem;Item;
Chicken Mask,ChickenMaskArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Leather Dashers,LeatherDashersTrinketItem;TrinketItem;Item;
Moon Path,TileItem;PlaceableItem;Item;
Bone Candelabra,TorchObjectItem;ObjectItem;PlaceableItem;Item;
Seasnail,ObjectItem;PlaceableItem;Item;
Junior Burger,FoodConsumableItem;ConsumableItem;PlaceableItem;Item;
Void Spear,VoidSpearToolItem;SpearToolItem;ToolItem;Item;
Blueberry and Corn Extract,ObjectItem;PlaceableItem;Item;
Warden Heart,WardenHeartItem;HealthUpgradeItem;ConsumableItem;PlaceableItem;Item;
Maple Tree,ObjectItem;PlaceableItem;Item;
Shine Belt,SimpleTrinketItem;TrinketItem;Item;
Ivy Hat,IvyHatArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Fields of Serenity Vinyl,VinylItem;Item;
Banana Pudding,FoodConsumableItem;ConsumableItem;PlaceableItem;Item;
Granite Caveling Spawn Item,MobSpawnItem;PlaceableItem;Item;
Sentient Sword,SentientSwordSummonToolItem;SummonToolItem;ToolItem;Item;
The Crimson Sky,TheCrimsonSkyProjectileToolItem;BowProjectileToolItem;ProjectileToolItem;ToolItem;Item;
Swamp Rock Ivy Ore,ObjectItem;PlaceableItem;Item;
Boxing Glove Gun,BoxingGloveGunToolItem;MeleeProjectileToolItem;ProjectileToolItem;ToolItem;Item;
Wall Window (Stone Wall),ObjectItem;PlaceableItem;Item;
Bone Bed,ObjectItem;PlaceableItem;Item;
Ancient Fossil Helmet,AncientFossilHelmetArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Exotic Seeds,PetFollowerPlaceableItem;FollowerSummonPlaceableItem;PlaceableItem;Item;
Summoner's Bestiary,SimpleTrinketItem;TrinketItem;Item;
Deep Stone Brick Floor,TileItem;PlaceableItem;Item;
Gold Glaive,GoldGlaiveToolItem;GlaiveToolItem;ToolItem;Item;
Crystallized Skull,CrystallizedSkullSummonToolItem;SummonToolItem;ToolItem;Item;
Home Vinyl,VinylItem;Item;
Maple Dresser,ObjectItem;PlaceableItem;Item;
Building Potion,BuildingPotionItem;SimplePotionItem;PotionConsumableItem;ConsumableItem;PlaceableItem;Item;
Iron Streetlamp,ObjectItem;PlaceableItem;Item;
Abyssal Cloak,ItemSetsIncreaseItem;ChangeItemSetsItem;ConsumableItem;PlaceableItem;Item;
Overgrown Fountain,ObjectItem;PlaceableItem;Item;
Swamp Stone Caveling Painting,ObjectItem;PlaceableItem;Item;
Pearlescent Shard,ObjectItem;PlaceableItem;Item;
Glacial Boomerang,GlacialBoomerangToolItem;BoomerangToolItem;ThrowToolItem;ProjectileToolItem;ToolItem;Item;
Spider Leg,SpiderLegQuestItem;QuestItem;Item;
Stink Flask,StinkFlaskItem;ConsumableItem;PlaceableItem;Item;
Stylist Shirt,StylistShirtArmorItem;ChestArmorItem;ArmorItem;Item;
Bat Wing,MatItem;Item;
Balanced Frostfire Foci,CombinedTrinketItem;TrinketItem;Item;
Runebound Chieftain Spawn Item,MobSpawnItem;PlaceableItem;Item;
Dryad Spirit Cage,ObjectItem;PlaceableItem;Item;
Wild Iceblossom,ObjectItem;PlaceableItem;Item;
Arcanic Pylon Spawn Item,MobSpawnItem;PlaceableItem;Item;
Coins,CoinItem;ObjectItem;PlaceableItem;Item;
Bone Arrow,BoneArrowItem;ArrowItem;Item;
Maple Candelabra,TorchObjectItem;ObjectItem;PlaceableItem;Item;
Arachnid Helmet,ArachnidHelmetArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Frost Boots,FrostBootsArmorItem;BootsArmorItem;ArmorItem;Item;
Sage and Grit Spawn Item,MobSpawnItem;PlaceableItem;Item;
Crypt Ash,TileItem;PlaceableItem;Item;
Spruce Cabinet,ObjectItem;PlaceableItem;Item;
Spruce Double Bed,ObjectItem;PlaceableItem;Item;
Spruce Clock,ObjectItem;PlaceableItem;Item;
NOT_OBTAINABLE: Fishian Warrior Hook,FishianWarriorHookSwordToolItem;SwordToolItem;ToolItem;Item;
Gold Chalice,ObjectItem;PlaceableItem;Item;
Yellow Flower Patch,ObjectItem;PlaceableItem;Item;
Runecarved Walls Vinyl,VinylItem;Item;
Duck Breast,FoodConsumableItem;ConsumableItem;PlaceableItem;Item;
Slime Matter,MatItem;Item;
Ancestors Boots,AncestorsBootsArmorItem;BootsArmorItem;ArmorItem;Item;
Christmas Wreath,ObjectItem;PlaceableItem;Item;
Wood Floor,TileItem;PlaceableItem;Item;
Antique Bow,AntiqueBowProjectileToolItem;BowProjectileToolItem;ProjectileToolItem;ToolItem;Item;
Temple Fire Chalice,ObjectItem;PlaceableItem;Item;
Apple,FoodConsumableItem;ConsumableItem;PlaceableItem;Item;
Ninja Shoes,NinjaShoesArmorItem;BootsArmorItem;ArmorItem;Item;
Copper Sword,CopperSwordToolItem;SwordToolItem;ToolItem;Item;
Tungsten Sword,TungstenSwordToolItem;SwordToolItem;ToolItem;Item;
